video_id,comment_id,author,text,published_at,like_count,reply_count,channel_name
RLFdTzszwY4,Ugx-mZNepOu9Kfh5H914AaABAg,@philgriffin8687,how much were the BBC board of Zionists givin to white wash the genocide?,2025-10-27T00:36:51Z,0,0,BBC
RLFdTzszwY4,UgzWrHYC0FC-9RNeyNp4AaABAg,@philgriffin8687,Will Raffi Berg get his beachfront property for being a good little Israeli propagandist?,2025-10-27T00:06:30Z,0,0,BBC
RLFdTzszwY4,Ugxjqi3TvN_0X9zTqlt4AaABAg,@Musheerahmed-g7h,😢,2025-10-25T20:41:59Z,0,0,BBC
RLFdTzszwY4,UgzDRwmtTnOZzajiw194AaABAg,@baylaobrien6205,"Maybe if the Jew Haters in the media reported accurately,  Hamas would not have been emboldened for these past 2 years!!
Shame on the world for abandoning Israel after Oct 7th!",2025-10-25T17:29:25Z,0,0,BBC
RLFdTzszwY4,UgywcGDqv_CAO26UPjB4AaABAg,@philgriffin8687,Hey BBC tell us all what your Israeli masters want us to hear. Hows your Board of zionists getting on planning their beach front properties in gaza along with your middle east zionist Netenhyahu fanboi Middle east 'news' editor  Raffi Berg?,2025-10-23T23:03:18Z,0,0,BBC
RLFdTzszwY4,Ugwdw5ucSOnRKK9hDMJ4AaABAg,@Theodoreking-e2f,After 2 years the on the ground territory is like the tower environment in New York after the 911 incident. It should be left as such and not forced to rebuild on the very same site/stressed. The Golan Heights going there with a pass through to the present Syria is a much more practical thought. With the allowance of a pass or some sort of Permanent Passport perhaps issued by Britain or the collective Peace Group... then that's something to use in passage to the outside World.,2025-10-23T18:31:19Z,1,0,BBC
RLFdTzszwY4,Ugzo0fxbXlRMUyRaYhF4AaABAg,@sanjsanj3356,Will the bbc stop protecting genocide Israel and speak up the truth and ask for Israeli Nazi PM to be arrested??,2025-10-23T16:58:23Z,0,0,BBC
RLFdTzszwY4,UgzMYVdtq7YWzq2tYYF4AaABAg,@ONE_SERVANT_OF_AL-LAAH_007T3,Never.. it is a dream of Trump..😂🤣💯🎯,2025-10-23T16:04:15Z,1,0,BBC
RLFdTzszwY4,Ugx9kM87nQQKNxIKYYZ4AaABAg,@MuckRaker-m4r,If Hamas hasn’t given up control then tell everyone in Gaza to head back south because it’s bombs away time. Keep electing terrorists as your leaders…,2025-10-23T14:59:16Z,0,0,BBC
RLFdTzszwY4,UgxgLFdLW7-9mTdmZnJ4AaABAg,@DonCarleogne,DEII MF ZIYIONNIST! YOU WILL ALL BURN IN HELL LATER. ALLAH NEVER BREAKS HIS PROMISE! YOU WILL ALL SOON FEEL THE WRATH OF THE ONLY GOD. OPPRESSOR WILL BE OPPRESSED IN HELL.,2025-10-23T12:26:31Z,0,0,BBC
RLFdTzszwY4,UgzQT5d3WH_OAnRTyex4AaABAg,@wiseget-g2x,"Don't start a war with a
lion when you're a watermelon!🍉",2025-10-23T11:56:21Z,3,5,BBC
RLFdTzszwY4,UgxPrWcRH7s6NwiWPhl4AaABAg,@attorneyumarghazalli,"As compensation, you have to remove all factors that could cause you to make this terrible mistake again. There are hundred other ways to resist.",2025-10-23T11:01:41Z,0,0,BBC
RLFdTzszwY4,UgzNDCvYW5CBCWRY3Wp4AaABAg,@williehayes1729,"well, President Trump asked them nicely. Genocide is next. Cluster Bombs galore. Bye Bye Hamas.",2025-10-23T06:47:41Z,1,2,BBC
RLFdTzszwY4,UgyY2jtr9w4X4W9ZCFh4AaABAg,@blackwolfie555,War? You mean genocide?,2025-10-23T03:28:13Z,11,2,BBC
RLFdTzszwY4,Ugy7a0-1DgvC6ns9YIl4AaABAg,@rabbiswhy,Hamas kills Palestinians,2025-10-22T22:27:23Z,3,5,BBC
RLFdTzszwY4,UgwUsBb4nDnX9SGRtM14AaABAg,@blancamedina8005,"Y Greta?sus flotillas? No va a salvar palestinos estan asesinados por Hamas terroristas,hipocrita antisemita mentirosa",2025-10-22T21:48:55Z,2,1,BBC
RLFdTzszwY4,UgwLqA-yLIPWR6HxInB4AaABAg,@khalidoman6506,"During this war, I noticed as the western media that Hamas treated respect to the Israeli hostages and tried to keep  them safe in Gaza while the Israeli government killed most of the Israeli hostages in Gaza by its army and on the other side Israel tortured the Palestinian prisoners,all the world saw the signs of torment and how these prisoners suffered in Israeli prisons.",2025-10-22T20:52:21Z,7,2,BBC
RLFdTzszwY4,Ugzv6qwrwiTa8HQGG394AaABAg,@davidallen3050,May GOD Bless Israel!  🙏🇮🇱,2025-10-22T19:35:16Z,3,0,BBC
RLFdTzszwY4,UgzbBuPOFPQBNSC1_eN4AaABAg,@johnashworth4094,Love what they've done with the place,2025-10-22T19:12:23Z,1,3,BBC
RLFdTzszwY4,Ugx9ue0rb35mL25NzNF4AaABAg,@knockedoutloaded,'It was a mistake that caused this war' Pretty silly mistake hey 😂,2025-10-22T18:10:27Z,4,1,BBC
RLFdTzszwY4,UgwvgtbZLFXIq5G6xTp4AaABAg,@MK-vg8xf,Lmao BBC smoke crack ???? wtf bbc is the most @cked up lie news.,2025-10-22T17:53:04Z,0,0,BBC
RLFdTzszwY4,UgyUrtuQRrfuSf62HkJ4AaABAg,@cavaliercal594,The question is will colonization stop. BBC lost it.,2025-10-22T17:23:44Z,13,2,BBC
RLFdTzszwY4,UgxCRUI1ifhF_SH-Vr54AaABAg,@OldOneTooth,Given the idf is arming rival clans....,2025-10-22T17:23:38Z,1,7,BBC
RLFdTzszwY4,Ugxkxl4jnuj_2rt_xzN4AaABAg,@HDiver-ru7ru,"You should practice how pronounce ""khamas""",2025-10-22T17:22:07Z,0,0,BBC
RLFdTzszwY4,UgzSFs0COSe3iEkd7jN4AaABAg,@mohammadebrahimzaqumi,"Yes, because they don’t want to killed by ISRA!l spy’s. They are the son of that territory and landscape and no one has the priority to take down their guns.",2025-10-22T17:19:32Z,0,0,BBC
RLFdTzszwY4,UgzMIy0-P_uTjlYXYaV4AaABAg,@lilvader6090,Do you mean will the IDF terrorists leave Gaza and give it back to the Palestinians?! BBC : British Bs Channel,2025-10-22T17:16:21Z,0,0,BBC
RLFdTzszwY4,Ugw61b3eY0egrAHRt0x4AaABAg,@EduardoOliveira-e8c,"WHO TRUST IN TRUMP IS PLAYING CHESS WITH A PIGEON.
PIGEONS FLY ABOVE THE TABLE AND POOPING ON IT",2025-10-22T17:12:19Z,2,1,BBC
RLFdTzszwY4,UgyCNn1am-Fo7c2hrzh4AaABAg,@johnsmith-qy5wf,Bbc thinks their audience is dumb😂…we get the truth streamed live through our phone all day!….jus go away Bbc😂,2025-10-22T17:07:42Z,17,0,BBC
gb5MqziF8vQ,UgxHiOVakIm0PQ4NB114AaABAg,@HolmRose,I'm tired of these people acting like children that don't know anything-- leave them alone and let them kill each other for God's sake,2025-10-27T06:06:53Z,0,0,BBC
gb5MqziF8vQ,Ugy64mjO9cyHRGxLrqh4AaABAg,@yanaakasha6217,"Everyone Type ""Jasper Nathaniel"" 
Israeli settlers beat an American Journalist and an Old Lady.Why isnt mainstream news reporting this 🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴",2025-10-24T14:56:17Z,0,0,BBC
gb5MqziF8vQ,UgztSE1ytbymKjFYeeR4AaABAg,@alishaanjunedi7076,All Zionist are basterds terrorist..,2025-10-24T14:36:07Z,0,0,BBC
gb5MqziF8vQ,UgwkUUO9hEfx38rxZ9x4AaABAg,@GodiraPhetogo,"It's very clear that Hamas is the incitor. The mainstream media are a bunch of snakes. ""Both?"" how has Israel not honoured the ceasefire if Hamas is the one that started the attack. By actually emphasising the death of a child in this report is to draw public sympathy and make Israel look bad",2025-10-24T00:30:40Z,0,0,BBC
gb5MqziF8vQ,Ugw3ZJVzHzQ9ua0LO8Z4AaABAg,@adanarterius5697,perhaps the BBC should rather focus on their own government's covering up muslim rape and grooming gangs running rampant in britain ;),2025-10-23T16:07:50Z,0,0,BBC
gb5MqziF8vQ,UgzTfYGOh4mtuXTkms94AaABAg,@VilasPatil-w3e,Try to follow peaceful solution to the destracted life on the compromised humantarian world Live and Let live bless and mercy of understanding❤u Donot follow curse of destruction be aware of world devastation Any time the disharmony will end the life of the whole world,2025-10-23T15:48:04Z,0,0,BBC
gb5MqziF8vQ,UgyZ0jDgvciTq16WZ4l4AaABAg,@thunderbirdizations,There’s a reason no reporters are allowed in gza,2025-10-23T03:37:07Z,0,0,BBC
